ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
5056;Domaine de Montgilet Anjou Rouge 2016;7.5;9
5375;David-Beaupère Juliénas Les Trois Verres 2018;15.2;0
5377;Argentine Alamos Catena Malbec 2017;19.0;7
5379;Argentine Mendoza Alamos Torrontes 2017;11.1;26
5380;Nouvelle-Zélande Marlborough Momo Sauvignon Blanc 2018;18.0;24
5383;Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015;19.5;9
5389;Australie Maverick Breechens Blend 2012;16.1;5
5394;Chili Valdivieso Merlot 2017;10.7;4
5395;Chili Errazuriz Cabernet Sauvignon 2016;12.7;6
5396;Chili De Martino Gallardia Cinsault 2017;17.1;34
5439;La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018;13.2;0
5444;La Préceptorie Maury Rouge Cuvée Aurélie 2017;15.5;37
5445;La Préceptorie Maury Blanc 2015;16.3;11
5446;Parcé Frères Banyuls Rimage 2018;16.2;30
5448;Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017;7.2;0
5477;Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018;19.8;38
5479;Domaine Bulliat Beaujolais Blanc 2019;10.2;69
5480;Domaine Bulliat Chiroubles Cuvée Félix 2019;10.4;37
5481;Domaine Bulliat Moulin-à-Vent 2017;11.5;46
5483;David-Beaupère Juliénas La Bottière Vieilles Vignes 2018;17.9;22
5504;Château de la Selve Coteaux de l'Ardèche Blanc Saint-Régis Blanc 2019;13.8;35
5506;Château de la Selve Coteaux de l'Ardèche Rouge Serre de Berty 2014;18.2;63
5519;Domaine Chambeyron Côtes du Rhône 2017;12.9;35
5525;Domaine Chambeyron Vin de Pays des Collines Rhodaniennes Viognier 2016;12.0;0
5546;Thierry Germain Saumur-Champigny Cuvée Domaine 2018;15.2;130
5610;Domaine Weinbach Pinot Blanc 2017;18.0;11
5613;Albert Boxler Chasselas 2016;19.2;11
5614;Albert Boxler Crémant d'Alsace Brut 2014;19.2;39
5629;Parés Baltà Cava Brut Nature;10.3;51
5693;Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018;13.0;55
5694;Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016;12.7;62
5695;Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019;6.5;123
5696;Planeta Sicilia Etna Bianco 2018;17.5;35
5704;Domaine de l'Ecu Muscadet Gneiss 2015;16.9;5
5705;Domaine Huet Vouvray Pétillant Brut 2014;19.8;9
5706;Domaine des Terres d'Ocre Saint-Pourçain Blanc Instant T 2018;10.3;22
5707;Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015;10.8;13
